0,1,2,3,4,5,6,7,8
GFI1,DICER1-AS1,MIR29B2CHG,RCAN1,FHL2,FHL2,CCL18,NID1,TRERF1
SYTL1,CRPPA,PIF1,NRXN3,PLXDC1,ANXA3,IL1R2,CDC42EP1,MTR
TOX2,PROX1,EBI3,BNIP5,COL8A1,HOOK1,WARS1,NRP2,AL050309.1
TC2N,NAALADL2,FAM126A,SMIM31,SFRP1,ACSL3,B4GALT1,PLAAT3,BMS1P10
CTSC,AL356534.1,LINC00662,HOOK1,FEZ1,MARVELD2,RASGEF1B,ENPP2,NBAS
NBPF9,DPY19L2,CPNE3,COL28A1,PI16,UAP1,MAMDC2,RCAN1,NRDE2
ARMH1,VAT1L,MYBL1,ICA1,CTHRC1,FA2H,PLAAT3,F2R,FAR2
OASL,ZNF862,ZNF721,LINC01559,STOM,A1CF,MECOM,CLU,AQP8
NOL4L,NAA40,BRAF,NCAM1,SULF1,FRMD1,PIK3CG,ACE,RASAL3
LINC01934,DBT,AC012123.1,ATP1B1,F10,ACOT11,EPB41L2,SRGN,BLOC1S2
SNHG12,CCSER1,CBR4,MLXIP,RBMS1,HNF4G,PRNP,XAF1,NUCB2
UNC13D,AC005062.1,LINC01991,PRELID2,PRNP,DUOX2,FKBP5,ZNF521,DOCK5
SLC25A45,NRIP3,SAMSN1,LINC00992,MEG3,TC2N,NDRG2,LY96,ZNF284
ATM,SDK2,PRKCE,MARVELD2,COL5A1,PANK3,CMIP,PLAT,HELQ
PCNX2,NINL,MCTP2,HEPH,PTGIS,FAM135A,GFRA2,CX3CL1,GLIDR
PTPN4,ANKRD36C,LNPEP,SDCBP2,GEM,ABCA5,ISG15,CEMIP2,MSL2
TMIGD2,CCDC170,ANP32BP1,CCNB2,ALDH1A3,BLVRB,IRF8,CD36,ARRDC5
C16orf54,CFAP69,NUAK2,USP53,TNS2,GRAMD4,SESN1,MYO6,MCTP2
CCDC18-AS1,GABBR1,SPINK2,SEMA6D,PPFIBP1,TOM1L1,EBI3,SKIL,CBX4
CEMIP2,BCO2,CDK14,XKR4,ACVRL1,DSTN,MARCKS,RBMS1,NBPF9
TNRC6B,GARNL3,MTMR4,AL139383.1,PDE1A,LINC00261,LINC00996,EDN1,DCTN5
BTLA,DTL,RAB3GAP2,COL21A1,COL4A1,MECOM,LGALS2,FRMD4B,STIM2
CRTAM,FBXO36,C12orf77,AC005747.1,ABCA8,GLDN,ADGRE5,STAB1,PTPN7
CDC14A,MS4A8,C19orf25,HSPA12A,MATN2,CLCA4,SNORD3B-2,CFLAR,AC092164.1
NIBAN1,LEF1-AS1,PIK3CG,CADM2,THBS4,PFKFB2,DENND5A,PGF,EGR1
ARAP2,NEURL1,ZFP82,C1orf198,PLSCR4,BIK,AC005747.1,GRASP,DENND11
DUSP16,GRK4,UGT8,FA2H,NUCB2,PRELID2,FAM20C,STC1,SEMA4D
ODF2L,AL031432.4,SKIL,FEZ1,CD9,TMEM176B,PSTPIP2,PPP3CA,PAXIP1
NUP210,IL17RB,GMDS,CXCL3,NDRG2,PAWR,SGPL1,CFDP1,ZNF880
FCMR,SLC26A4-AS1,NBPF9,HAND2-AS1,EFHD1,SAT1,FSCN1,CSNK1E,ARRDC3
SFI1,TRIM66,METTL4,INSC,FSTL3,TMIGD1,ZNF331,ATRX,ARID1B
JAML,ITGA10,USP15,TOM1L1,LTBP1,SCGB2A1,PLB1,DAB2,SOX2-OT
ZFYVE28,ABCA5,TNPO2,PPFIA3,CD34,SH3D19,CD72,CTHRC1,CYB561D1
PIK3CD,ARHGAP28,AC104170.1,LINC01612,VCAM1,EDN3,SUSD1,MATN2,NBEA
EPB41,KANTR,PHGDH,ARL4A,CBX6,LETM1,BASP1,NFKBIA,UBL7-AS1
HAVCR2,MAGI2,PAWR,P3H2,TNFAIP6,TTC22,MX2,KPNA2,AC096733.2
HS3ST3B1,AZGP1,CCSER1,ST6GALNAC2,UAP1,SMCO4,RBMS1,DENND5A,HEATR5B
CBLB,ZNF26,ZNF224,NMU,ERRFI1,ATOH1,TGFBR2,SOX7,FEM1C
APBA2,FHOD3,ZNF33A,PCSK2,ASAH1,LINC01133,GPR132,SLC38A2,VPS13D
ZNF831,SHISA6,BUB1B,AQP7,CFL2,MFSD2A,CD9,RBFOX2,A2MP1
STK10,FHDC1,RASSF6,AKR1B10,ITGB5,SCD,NFKBID,MAGI1,IQCE
AC243829.4,CSAD,C16orf54,NPDC1,RAMP1,ANO9,CASS4,PROCR,PTCH2
FBXW4,SHANK2,PRDM15,AOC1,F3,AQP8,LTB4R,ASS1,FBXO42
SESN1,RAB21,ARHGAP4,LINC00844,CDC42EP1,ENDOD1,ARHGEF40,AP1S2,B3GNTL1
ZBP1,OSMR-AS1,AC083862.3,KIAA1217,HTRA3,EGR1,CELF2,DAAM1,TLE3
PPP2R2B,ABCA3,MHENCR,SORCS1,SFRP4,RASSF6,PLA2G4C,CASP10,SELENON
MAF,NTN1,TLE4,ZDHHC11,SMTN,CYCS,TXN,FBLN2,SORBS1
