0,1,2,3,4,5,6,7,8
C1QTNF1-AS1,GREM1,BRPF1,VPS13D,ABCA3,RBFOX3,PGAM1P8,FMO4,ACTA2
ATXN2,RNPC3,TTC22,MTFMT,MIA3,BMPER,RTTN,MUC20-OT1,BTLA
ZNF445,MVB12B,RRP1,TBC1D31,ANKRA2,ATXN7L1,CYP2R1,UPF2,MFGE8
ABCA2,ANP32BP1,KIRREL3,FBXO36,EPS15,C1QTNF1-AS1,LINC00205,UBL7-AS1,HLA-B
AC034114.2,IL17RE,NLN,CDK9,RNF123,IRS3P,METTL16,AL355073.1,MATN2
AC005041.5,EPG5,LETM1,AC242376.2,INSR,RFX2,OSBPL6,FBF1,CST3
RALGAPB,GALNT17,FAM178B,UBE2Q2P1,HEXIM1,RPUSD2,SAP30L-AS1,MPP3,MMRN2
AL683813.1,SP4,BMPR1B,LTBP4,NAMPTP1,AC096733.2,NAALAD2,PRICKLE2,RPS21
AC008629.1,ATP2A3,FAM160B2,CHSY3,AGO3,SEC31B,PRUNE2,ZNF487,AC188616.1
IQSEC1,NIPAL3,CRYBG1,AC104389.4,FAM118A,CKS2,AL133245.1,RBM33,MMP14
FAM66D,RFLNA,PLA2G6,WWC3,ANKRD33B,TTL,MRPS21,AL683813.1,NKX2-2
RAB3GAP2,GRB10,ADCK1,TRPV1,DKK2,FER,SLC22A5,HHAT,SMCO4
UST,TAC3,NRXN1,SH2B1,FHDC1,BMPR1B,DEFA6,HMCN2,ZNF846
KLHL31,LTBP2,NFATC3,SLC16A10,RAB12,Z84485.1,SUCO,ZNF429,CGA
FURIN,SNCA,UTRN,AKAP12,RAB11FIP3,ZNF26,ERVK13-1,EPG5,H2BC8
STYK1,ZDHHC8,WNK1,TSPAN9,MTR,ARHGEF40,IL1R1,MORC2,GFI1
GRIN2C,ZIK1,LINC00899,ADAM23,AC107204.1,AL031432.4,AC092164.1,LGMN,CYCS
MVB12B,CLCA4,AREG,ZNF862,IQGAP2,AC011498.1,LINC01572,CCDC144B,SETDB1
U2AF1,BRAF,PIGG,SMURF1,KLHL15,PDE12,ZNF284,OSBPL6,IPCEF1
HDAC6,TNFRSF13B,CYCS,RTCA-AS1,ABCA5,EPG5,KIF11,AC093752.1,CCDC88B
IRAK1BP1,SH2B1,CNOT6L,C12orf43,LEF1-AS1,WT1,ELL2,PDHX,C1QTNF1-AS1
MEF2D,ZMYM4,ANKRD36B,PKD1,TMEM161B-AS1,LINC02577,SLC1A2,UBAP1L,AL035420.2
AC098934.2,RPUSD2,IQGAP3,ZNF566,FOXJ2,RTCA-AS1,RABL2A,AC002460.2,MARCKS
TLE3,PFKFB3,AC009570.2,MRPS21,SUCO,CYB5R4,NBEA,TSPAN11,ATF3
ITPRID1,MTURN,SETD1B,TECPR2,ADAM23,AC008592.3,MTMR4,ZNF445,CFL2
ZNF487,AC243829.4,PPP1R12C,CSRNP2,USP45,NARF,AC073225.1,ST6GALNAC2,FAM131A
ASB7,SETDB2,BMPR1A,PLA2G4C,ZNF680,PTGDR,LINC00899,INPP4A,AC092184.1
PTPN13,AQP7,MTMR3,EGFLAM,SEMA3A,FOXJ2,CYB561D1,TSC1,PPP1R12C
PAIP2B,RGS16,AL355355.1,PLOD2,NPLOC4,ADAL,CPSF1,ZNF26,CCDC33
FOXJ2,FGF12,SLC22A5,SYNPO,COL9A1,EPAS1,NR3C1,KIT,SVIL
IL1R2,RANBP2,NCK2,PLA2G6,CELF2,MVB12B,RDH8,ZDHHC11,AC239799.2
SLC1A2,SLK,SMURF1,RRAGB,KIAA0232,ZNF169,CBX6,KCNE4,WNK1
CD320,NLGN4X,NT5DC3,MGLL,NLRX1,PLSCR4,ELP4,TNRC6B,TRA2A
MMP3,RUFY2,FLRT2,AC002460.2,MTFMT,ANKRD33B,PRRC2B,AK8,IKZF1
IL17RB,SLC26A11,EVI5,NRF1,AL365295.1,STAG3L3,SF3B1,STMN3,SLC47A2
ZNF429,EPHA1-AS1,ARHGEF26,ATF3,ZNF3,LRCH3,ITGAL,LRRC23,SAMD12
LINC00205,COL9A1,MRAP2,RANBP2,CDA,LGMN,CDK9,AL139383.1,SPRY1
SOS1,STIM2,USP40,SMCO4,SYTL2,SMG1,LIPT2,RABL2A,MUC4
RAD18,SYTL2,ANKRD20A5P,DGKG,NARF,MORC2,LINC01145,LAMP3,ATF6B
AC239799.2,RELN,XYLT2,KANTR,USP32,LINC01572,TBC1D31,RGS16,NRXN1
PDHX,DOCK5,AC188616.1,SEC22B,MAPK8,C1orf198,CADM2,TRPV1,AC009967.1
AL356534.1,CD300LG,NFKBIZ,SLC26A4-AS1,BMPR1A,DICER1-AS1,ZGRF1,CDK12,HTR4
LINC01320,NCAM1,NKX2-2,XYLT1,ATXN1,AC073225.1,ZNF880,AL049646.1,AC034114.2
USF1,ADAMTS9,YTHDF3,XRRA1,ZDHHC11,PDE4D,LINC01422,PAXIP1,MTFMT
DTL,ZNF826P,UPF1,LRRC74B,HERC1,BCOR,MTR,SLC47A2,FBXW4
NRIP3,BUB1B,SH2B1,SOD2,PLAUR,RAB3GAP2,CEP295,CEP295,ATM
AC242376.2,CTC1,AC107204.1,DDX52,LINC02256,OGT,ASB7,SLC25A53,LINC01285
PGAP1,METTL16,BSPRY,HIF1AN,FYTTD1,AC242376.2,RFTN1,NPRL3,MAL
USP7,KLRF1,FOXJ2,CYB561D1,SEC24A,ZNF846,RAD52,VPS54,PDLIM3
PTP4A3,TMEM94,ZSWIM8,RNF150,ZDBF2,ATF6B,RAD18,PRUNE2,SMCHD1
MNT,CSRNP2,COL9A3,ETFBKMT,GLDN,LINC00205,MTA1,FAM178B,MAP3K19
ANKRD20A5P,LINC02446,IL17RB,NF1,SORCS1,CUL2,MIDN,PKD1,PRDM1
RGS3,PCDH19,MS4A2,DYNC2H1,DMXL2,CAMSAP2,GRK4,HEXIM1,CTNNAL1
UTRN,AC004816.1,C1QTNF1-AS1,APOBEC3A,ANPEP,RIF1,NTN1,FAM66D,SLF1
MAP3K9,PTGDR,AL035420.2,CBX4,RGS3,CD55,ATP23,SUCO,FHL1
LINC01285,NEDD4L,PRRC2A,STS,RPF1,LRRC69,PLEKHA5,ANO1,INHBA
CLEC7A,GLDN,TRERF1,NINL,AC243562.2,HELZ,ZDHHC18,ARHGEF40,POGZ
DBT,SEC22B,HMGN5,LIMCH1,MPP3,HELQ,TSC1,CHRNA7,TPM1
KIF5A,CAMTA2,ZEB2,TRPM3,CNKSR3,RNFT2,IRAK1BP1,SLC26A2,AC073225.1
FYTTD1,CRTAM,PRND,ZUP1,SETD1B,USP32,EXOC7,CCDC33,ATE1
ESM1,GUCY1A2,TMEM67,C20orf194,PITPNM2,MAGI2,BAP1,AC005618.4,AKR1B10
LZTS1,MAGI1,AC092184.1,LINC01697,IRAK1BP1,APOBEC3A,USP53,NPY1R,EFEMP1
TMEM135,SLC4A7,MTA1,HSD11B2,TRPV1,DTL,WWC3,SEC31B,SLC38A2
ELP4,ADGRG6,GRK4,BTBD9,AL050309.1,CHM,UBR3,MEG8,SHISA9
LINC00899,ZNF141,NTN1,SELENON,SAA1,ARID1B,RAB26,COX4I2,SEC24A
NRXN1,LAMA1,CCDC33,BAP1,HDAC6,GREB1L,OVCH1-AS1,ST3GAL6-AS1,LINC01320
AC093827.1,FLRT2,C3orf62,LZTS1,CRPPA,MSR1,MUC20-OT1,RIF1,FSTL3
STPG1,APOBEC3A,IL4I1,STMN3,CD36,ICA1L,MAGI2,WDFY2,AC004151.1
ZNF823,CXCL3,SLC47A2,ZNF440,SUGCT,CTNNAL1,ZNF141,DHX35,TRMT9B
PLB1,OTUD7B,PLA2G4C,FAM189A2,TRIM9,TFAP2C,ZNF33A,SAMD12,HELZ
EFHC2,LINC02453,AC092164.1,TPBG,AHCTF1,ANKRD28,ING5,CDK9,KLHL31
AC007566.1,MXD3,ZNF583,CAPRIN2,DPY19L2,NCAM2,FSIP1,ZIK1,GLMN
ZNF175,FAM214B,CBX4,OTUD5,ZNF623,ASTN2,PRDM15,SPG11,ACOXL
BCL2A1,DIPK2A,BCORL1,COL4A5,HHAT,TNFAIP1,RARRES1,C3orf62,DMPK
AC084879.1,NLRX1,NEK11,ZNF583,LY96,AL139383.1,AP000253.1,ZDBF2,AC092666.1
MRM1,TRAF1,HTR4,PRRC2B,SEC22B,PARPBP,XYLT2,TRIM71,AC007613.1
LINC01521,EHMT1,LINC02328,ARID2,ST6GALNAC5,CCDC88B,RANBP2,SERPINB9,PDGFA
EIF5B,TTC39B,KIAA1109,ZBTB37,GRK4,IFT81,AL356534.1,PARP11,ZNF518A
ABCA5,SLC26A3,PKD1,DLG2,ASTN2,ZNF175,TPTE2P5,CDC14A,RDH8
C3AR1,PHLDA1,NF1,PANK3,PCBP1-AS1,UST,CSNK1E,RADIL,PLEKHG2
AFG1L,SLC30A9,LIN7A,KIAA1109,SYP,FAM189A2,CDC20,METAP1D,CDKN3
FAM214B,CHM,YPEL2,ABCC9,ODF2L,AC078785.1,ALG14,HELQ,FOXJ3
MTURN,ASAP3,DHX35,FAM135A,CPEB3,AC124016.1,HIF1AN,CLEC9A,AL355073.1
SS18L1,IQSEC2,TTL,COL18A1,SLC40A1,SOX2-OT,CHD6,AC008755.1,AL022068.1
AC073225.1,NSUN6,POU2F3,SETD1B,ZNF429,NEIL1,ZNF699,MTMR4,FKBP5
WDR91,TBC1D2B,LINC02694,STAG3L2,DOCK6,GTF2IRD2B,KATNAL1,LSM14B,SORBS2
SKIL,CASP9,MAP3K19,DUSP16,GKAP1,PCGF1,LINC02453,USP7,FAM186A
IRAK1,HMCN2,PTDSS2,NEURL1,CBLB,ZMYM4,GLMN,MNT,ALOX12B
TRPM3,LRRC23,YKT6,RNPC3,PRIMA1,GRB10,RTCA-AS1,CUL2,AC084879.1
PPP2R3A,BMPR1A,B3GNTL1,ITGA9,FAM98C,TRA2A,PTGFRN,ERVK13-1,AC087651.1
TMEM67,LINC00992,LTB4R,UBXN7,SERPINE1,DLEU1,CCNB2,VAT1L,AC008755.1
NAA40,CDH13,SLFN12L,ALAS1,BMPR1B,SLC7A2,DNHD1,HLA-DMA,LBH
ARHGEF26,PCSK5,SLC39A6,NRIR,ZNF518A,NINL,ZNF440,AC007566.1,OGT
CCDC157,ANPEP,DNASE1L3,KIF19,FKBP5,SPOCD1,SLC16A13,SUCLG2-AS1,AC008629.1
S1PR1,CENPF,MEF2D,AC002074.1,OVCH1-AS1,HMSD,ITGB3BP,WDR31,KRT19
COLGALT2,ANO9,TRAF1,ZNF215,AL022068.1,PLA2R1,ZNF346,AC008592.3,SESN1
ZNF888,CRYBG1,CXXC4,PRICKLE2,FAM178B,ABCA3,Z84485.1,STK10,CFLAR
DHX35,SASH1,ENDOD1,AL133245.1,RIF1,ADAMTSL4-AS1,CTC1,DPY19L2,AC243562.2
ATE1,RAD52,NEDD4L,PARD6G,TFAP2C,ZNF141,CEP97,FUCA1,ERAP1
PPP1R12B,MS4A2,MYO1F,DMPK,MNT,C16orf58,CCDC144CP,NFKBIZ,DOCK6
TRAIP,STARD7-AS1,DLEU1,TRMT9B,IFI27,AC108471.2,SLMAP,INTS4,TRG-AS1
BMS1P1,FYTTD1,SLC1A1,GARNL3,C12orf43,UNC13D,CPD,NFATC3,METTL16
NF1,NLRP3,MYOM1,FAM118A,ARHGAP24,COL27A1,NEK11,ZNF652,SDS
ARHGEF38,ZBTB32,SHISA9,AK8,INTS4,AC093157.1,AC011498.1,MIGA2,TPT1-AS1
WBP4,LINC01697,VPS13D,MAPK8,ZNF252P,PRRC2B,HIF3A,ZNF175,AC005041.5
NUAK2,FER,TRMT9B,ZNF846,METTL16,SHISA9,EXD3,AC011498.1,ICA1
CUL4A,SLC14A1,SSUH2,SLC26A11,AHSA2P,DGKA,ZNF528-AS1,NLN,SERPINF1
ZMYM4,STC1,EHBP1,APOD,ENPP2,GARNL3,TRPM3,LINC02453,OLFML3
NAMPTP1,CUL2,KLHL31,TM4SF1,SCML1,RBM33,DARS-AS1,ARHGEF26,PRND
OSBPL6,XRRA1,PCSK5,TTC22,AL355073.1,GABBR1,WDR31,DENND4A,RUNX3
KIAA1109,ING5,AP3M2,ALDOB,ANKS1A,AC022966.1,ITPRIPL1,LRRC74B,GRASP
AL050309.1,DHX35,KIF5C,MYOM1,FANCC,AC104389.4,AC002460.2,ZNF141,IGFL2-AS1
MAPK8IP3,SHC4,EFHC2,FOXRED2,STK33,CBR4,ACSS1,A2MP1,PCSK7
ITGA10,AC130456.2,AL355075.4,NBAS,TMEM181,INTS4,ZNF3,CFAP69,DHCR24
PGAM1P8,RRAGB,ADAMTSL4-AS1,ADAMTS17,PRKAG2,RUFY2,DDHD2,LNPEP,PALLD
DTWD2,HELZ,AC092666.1,CXXC4,SLC30A9,PLB1,CCDC144B,COX10-AS1,AAK1
CPSF1,COLEC11,SGTB,TRA2A,TECPR2,WDR92,IL2RA,SYNE1,IRAK1
PDCD6IP,SUPT7L,ADAMTS17,SLC40A1,AP000769.1,COL16A1,LINC01521,PAWR,SV2B
GLIDR,SUSD1,BTBD9,TGFBR2,ATE1,ANKRD36C,MEGF6,IQCE,PARP8
XYLT2,NBN,ADAL,ITIH5,INSC,AL355073.1,MYO15B,FTCDNL1,MSR1
TMEM178A,FAM118A,AL355073.1,AC096733.2,ZSWIM8,AC010624.5,NDUFA6-DT,FBXO36,AL355355.1
PIP4K2B,DHCR24,FBXO36,OTUD3,POT1-AS1,ZC3H12D,SYT13,SHC4,FAM135A
OVCH1-AS1,CEP135,NOTCH4,PLA2G10,WDR31,ZDHHC18,TDP2,CYBRD1,ALG14
LRRC23,LPL,TET2,WWC2,BMS1P1,TCEANC,CXCL12,OVCH1-AS1,CSRP1
SLC39A6,SSUH2,MUSK,RAB3GAP2,PROM1,HEXD,DYNC1I1,ZBTB37,LRRC74B
TECPR2,LPIN1,SERP2,VPS53,ZNF175,IRAK4,FN1,GTF2IRD2B,SAMHD1
ZNF252P,PADI2,AC022966.1,VPS37B,METAP1D,TTC26,H2AC11,MTFMT,TNNC2
EGFL6,IRAK4,CADM2,ASB1,RAB3GAP2,MAOB,GSKIP,ZUP1,ZNF385C
ZGRF1,PPM1F,PELI2,INTS4,NCOA6,AC009126.1,LINC01285,AL355355.1,LAMB1
AC108471.2,TRIO,CEMIP2,MNT,DBT,NBN,KCTD21-AS1,MXD3,HLA-DMA
SMCO4,CSNK1E,DISC1,IQGAP2,AC132872.5,ETFBKMT,XRRA1,CEP97,TFAP2C
NDRG1,CA4,ABLIM1,UBAP1L,ANKRD13D,KLHL31,STIM2,EGR1,GBA3
KLHL15,FAM20C,AC008629.1,ITGA1,TBC1D19,ZNF623,ZNF81,MAPK8IP3,SPINK4
CCDC144B,RFX2,AC243562.2,COLEC11,FBXW4,TSPAN9,ARHGEF38,AC018647.1,SPOCD1
BUB1B,XKR4,MADCAM1,LIMS2,SLC15A4,KAT2B,ZNF583,ACTB,NRIP3
MMP7,ATXN1,REEP1,AL365295.1,ADCK1,BRAF,MLXIP,ATP23,LINC02660
SLMAP,YTHDF3,NCOA6,ITGB5,AL049646.1,DMPK,MXD3,VSTM5,IGFBP5
SEC24A,MYH11,EHHADH,ZNF521,CHP1,KIF5A,AURKA,PLA2G6,MGAT4C
RAB11FIP2,PRKG1,TAC3,FTX,SGPL1,RAMP1,TFCP2L1,RAB11FIP2,SLC9A3R2
KPNA2,NBEA,PPP1R12B,CUX2,ERAP1,ZNF721,LRRC69,LINC00520,SEMA3B
SLC30A9,IL21,ZNF823,NTN1,ZNF536,CTC1,SCRG1,FEZ1,CNOT6L
PRRC2A,TFAP2A,BCO2,LINC02541,SESN1,PTCH2,MYOM1,ZNF699,TRPM3
ESR1,PPP1R12C,JPH2,MIP,AC078785.1,CUX2,SV2B,OSGEPL1-AS1,GBP2
UPF1,TTL,ANK3,CCDC14,IQCE,SLC47A2,NPRL3,PROM1,AC104806.2
SYP,MASP1,PANK3,KIAA0232,ZNF445,WFDC1,NOTCH4,POT1-AS1,AC008592.3
C1QTNF2,SLC51B,AC007906.2,ZNF33A,LPL,PIP4K2B,C16orf54,ARHGAP4,ADAMTS17
NAALAD2,KCTD21-AS1,CLEC9A,AC073475.1,LSM14B,LINC00899,PPP1R16A,SGCE,AC107029.2
TMEM94,MTFMT,APOBEC3G,FAR1,ZDHHC18,NRDE2,CCDC157,CPQ,GRIN2C
SMURF1,APBA2,SCML4,PRDM10,TENT4A,AC092184.1,SWSAP1,TSPAN5,SYTL1
AC004816.1,WWC3,TDP2,BMPR1B,IL17RE,RABL2A,ITPRID1,KLRF1,SYNE1
DEFA6,TMEM17,MECOM,DDHD2,ATF6B,WDR91,NEURL1,WBP4,HIF1AN
FAR1,YPEL2,ZNF831,ARHGEF40,KCTD21-AS1,MUSK,ZNF429,AC105942.1,TRIM71
FHOD3,PCDH9,SV2B,RBMS3,TSC1,UBL7-AS1,MPST,SDCBP2,NCAM2
ZFP82,CX3CL1,TMEM135,PDE12,CNTNAP3B,AC092653.2,ZNF826P,RPS25,C1QTNF2
GKAP1,NUCB2,SLAMF1,COX4I2,OTUD5,ST6GALNAC2,TUBGCP6,CHRDL1,PCGF1
GSKIP,ARAP2,TECPR1,CACNA1C,ZNF141,RPF1,ADAM23,ERAP1,ITK
MCOLN2,PAXBP1,PFKFB2,GTF3C1,SMIM14,PITX1,PIF1,AC073475.1,NDRG1
SLC23A2,JPH2,NBEAL2,SLC12A8,PIGG,CCDC170,PARPBP,ZNF826P,SEMA3A
CDK15,WDR92,AL162151.1,RALGAPB,ZNF528-AS1,NFATC3,RPS25,SAP30L-AS1,HS3ST2
CUX2,FAM13A,OSBPL6,WARS1,RBFOX3,ACOXL,AC092184.1,AL050309.1,FBXO32
AC007906.2,COL16A1,ASRGL1,UBR3,STC1,ZNF699,TRAF1,PDGFA,AC025164.1
SERP2,RADIL,HEXIM1,AC104806.2,ALAS1,TNPO2,KIF5A,MX2,VSTM5
GCNT2,A1CF,CASP10,SLIT2,YKT6,PDE5A,SEC22B,GARNL3,AL354718.3
GPM6B,NF1,AF127936.2,MAML2,TRIM36,ZDHHC8,RRAGB,ADAMTS17,PEAK1
BMPR1B,ANKRD13D,SPOCD1,TBX6,CCDC33,CYTH3,ZC3HAV1,DEFA6,AC092653.2
WWC3,ZFYVE28,NRIP3,SLC47A2,BRAF,BTNL9,RAB3IP,SEC22B,MAP1B
PDZD2,SUGP2,ZNF445,BTNL9,AC242376.2,MATN2,LRCH3,LIPG,POU2F3
FMO4,PARP16,ITGA10,APOC1,LINC00173,MAML2,AC007569.1,ZNF81,NRIR
VPS37B,CCL23,ANKDD1A,HEXD,FBXL18,NDUFA6-DT,CSRNP3,SOX2-OT,AC098934.2
PKD1,HNF4A,MGAT4C,EDN3,AC093157.1,COL28A1,BMPR1B,DCTN5,GREB1L
CHIC1,NBAS,ESM1,CASP9,CSRNP2,FBXO42,PLEKHM1P1,USP53,LYZ
HIP1R,OGT,RAB26,PDE5A,UBXN7,CGA,LIPG,PAXBP1,PMEPA1
LSM14B,TMPRSS2,PROX1,TACO1,MAP3K8,AGO3,MAP4K1,CBX4,BLVRB
BMPER,TRERF1,SYNGR1,ADAM19,RANBP2,LIN7A,GLIDR,RAB21,DDHD2
ADCK5,ZC3H12D,SLC18A2,PPP2R3A,PAXIP1,RAB21,NAALADL2,AC009554.1,CATSPERB
UBE2Q2P1,POLK,RFX2,SVEP1,TRMT9B,AL355075.4,PTPN13,APOD,FLNA
WDR92,ARL14,SGK1,CGA,STAG3L2,MAP4,LINC00662,IRAK1,DST
XIST,MIA3,BEST4,MFSD4B,PPP1R9A,LINC02256,GPR39,ELL2,ZBTB10
TENT4A,IL6,FAM200B,AL356599.1,CLDN23,RGS3,MRM1,LTBP4,AL034427.1
RNFT2,ERBB2,ZNF558,LINC02328,KANTR,AC091271.1,DNAJC12,BTBD11,CD79B
TRPV1,PRKCQ,AC107029.2,LINC00261,AC007566.1,ADAMTS17,AC105749.1,GLMN,SH2D6
MXD3,PTPN4,CCDC14,SLC26A3,UPF1,PCBP1-AS1,CNOT6L,CCDC14,AC002460.2
VPS13D,PCNX1,MMP3,MXD3,AC007906.2,AL035420.2,C1orf198,DAPK2,LIMS2
AC188616.1,ASB1,ZDHHC8,AL157935.1,ITPR1,LINC00926,AP000442.1,HLA-DRB6,DES
MEGF6,CCL22,NCAM2,LTBP3,TTL,ZNF3,FTX,KANTR,TMEM94
NSMCE1-DT,KLHL15,C1QTNF2,PPIEL,XIST,CAPRIN2,TMEM181,ITGB8,CCDC144CP
NKX2-2,AC004817.3,SEMA3A,AC022966.1,ZBTB10,DENND4A,SYP,ICA1L,FAM189A2
AUTS2,CLMP,HS3ST2,ZNF528-AS1,TRPM3,NAALAD2,ADAMTSL3,MRC1,SLC26A4-AS1
METAP1D,PLEKHG2,PTP4A3,PLEKHM1P1,ESCO1,AGTPBP1,SEMA3A,ITPK1,LINC01521
CD300LG,LINC01612,GDA,FURIN,PAXBP1,IL18RAP,CHSY3,SGPL1,NCOA6
PCNA,MMP9,CDK15,FAM131A,RASGEF1B,TLE3,INSR,MRPS21,AC104389.4
MMUT,ADCK5,SEC24A,ZNF81,SLC1A1,CCDC33,PGAP1,DNHD1,ADAM23
ZNF215,PEAK1,GPM6B,PARP16,C1QTNF1-AS1,AC093752.1,FAM83F,TUBGCP6,RASGRP1
HMSD,AC022966.1,ARHGEF38,ROBO1,HEATR5B,ICA1,EVPL,ZCCHC2,H2AC11
DYNC2H1,CCL17,DBT,MMRN1,OTUD3,MYLK,SMCHD1,C16orf58,BTNL9
GARNL3,BMP5,CRPPA,AL132780.1,CXXC4,AC239799.2,ADAL,OTUD3,SLC16A10
AC092184.1,CDK12,PASK,TRIM66,OTUD7B,SORBS1,CENPF,STAG3L3,AC073475.1
ANK3,ATXN7L1,FA2H,WNT5B,WDR92,SNHG14,ATP1A2,NEU3,LINC01422
RAB26,AP000873.2,ZDHHC18,NTN4,ETFBKMT,DDHD2,POT1-AS1,AC093827.1,MGST2
PRND,LSM14B,CFL2,ANKS1B,FAM189A2,AL133245.1,TOP2A,C8orf31,CDC20
YTHDF3,LAMP3,ADAMTSL5,BMPER,TTYH1,CDH19,BRAF,DTNA,PGAM1P8
CCDC33,CPSF1,VSTM5,AMFR,TPTE2P5,KLHL7,AC188616.1,NRF1,HMCES
RRAGB,MFSD2A,AQP7,AL390957.1,AC008629.1,AC010336.8,NKX2-2,NAALAD2,VSIG2
FAM131A,FOXJ3,BMS1P1,MMP9,CCDC14,PIF1,ZNF566,ADAL,AC107204.1
SEMA3A,IL18R1,TRIM9,DPY19L2,AC092184.1,AL157935.1,AL353194.1,TBC1D19,XYLT1
AP3B1,CNN1,MTURN,RNF217,SUGP2,TMEM17,CGA,RAB20,AC078785.1
RBFOX3,HIPK1-AS1,PRUNE2,ELL2,DTWD2,VPS53,GLDN,PLEKHA5,RRP1
RAB12,ZUP1,NKAIN3,OTOP2,AC093827.1,MAP3K19,HTRA1,NDUFA6-DT,FAM178B
CCDC150,RTCA-AS1,HIPK1-AS1,STMN2,PAWR,MS4A2,CCDC14,TRAIP,CCDC157
UTS2B,ATP1A2,AL357060.1,RFX3,NRIP3,PLA2G4C,RAMP1,TMEM161B-AS1,AC005618.4
HSPA12A,ZCCHC2,GRB14,AC084879.1,AL683813.1,TBC1D31,C1QTNF1-AS1,MSL2,SLC35F1
CSAD,ZNF831,SOX6,PPP2R2B,PLA2G6,C19orf25,AL035420.2,LINC00598,ZNF536
HTR4,GJA5,TNFAIP1,PSTPIP2,FEM1C,ANP32BP1,RND3,DTL,SEMA3C
TNFAIP1,PIP4K2B,TFAP2A,KATNAL1,GRB10,AC107204.1,MCC,NRIP3,ADGRB3
SELP,NOS2,PEAK1,AC073225.1,TBC1D9,KCTD21-AS1,CLECL1,PPP1R9A,AK8
RNF123,CDHR2,CATSPERB,SOX7,CEP97,FBF1,BTBD11,RPF1,LIN7A
DIPK2A,NFATC3,SH2D6,PHGDH,SETDB1,DNHD1,SETD5,CBLB,DKK2
AC107029.2,AC092164.1,KLHL7,NAALADL2,ZNF880,RAD52,AL365295.1,EFHC2,WDR31
AP001347.1,LINC01991,FAM189A2,CEP97,TUBGCP3,NUAK2,FANCC,RAD18,ITGAL
HMGCS1,NOSTRIN,PCNX1,NARF,LINC02660,AC012123.1,GRB10,METTL16,PRCP
ANKRD33B,HEPACAM2,ACSL3,MMP3,AC108471.2,CCDC144CP,PROX1,MAGI2,MUSK
SLC25A25-AS1,FRMD1,MMUT,CX3CL1,ANKRD36B,NRIR,AC242376.2,SGTB,STAP2
SIN3B,ATP23,COMP,CMC1,PRND,WBP4,BNIP5,AP001347.1,AP000253.1
SLC26A4-AS1,AC008105.3,RFTN2,ANKDD1A,ATP23,HERC1,CCDC33,TPTE2P5,PTH1R
CHRNA7,COL4A5,PZP,ARHGEF17,MBNL1,ALDH1A1,CA2,PIK3CG,FCMR
LIN7A,ZFP14,TRIM36,HMGB2,ADAMTS17,PPFIBP1,DPY19L2,NSUN6,ZDHHC8
C12orf77,CUL4A,GTF3C1,ASAP3,SLC22A5,DRAIC,AC239799.2,AC073225.1,CPVL
ABR,TPD52,PAXBP1,CRYBG1,HPGD,MXRA7,TBC1D4,CDKN3,CXXC4
IQCE,DMD,GHR,PIP4K2B,ARID2,RHOB,CFDP1,LINC01697,AL049646.1
MSR1,MRPS21,PITPNM2,CCDC82,AL031432.4,ZDBF2,SLC47A2,AC109466.1,CHSY3
SHISA9,MXD4,AASS,AC009967.1,AK8,EXOC7,CYP4B1,DICER1-AS1,ESR1
COL9A1,USP32,IL18R1,HTR4,PPP6C,OFD1,VPS37B,ZFYVE28,C12orf77
TRMT9B,GPR155,APOLD1,SOS1,KIF5A,RDH8,CFAP69,MIR99AHG,DPY19L2
NLRX1,KLRD1,NPTX2,LINC01320,RAD52,SETDB1,CLDND1,GREB1L,AL133245.1
ANO9,EPS15,PPP6C,MTR,MIGA2,ANKRA2,HTR4,PRKAG2,AC002074.1
ANKDD1A,INSC,CHODL,CNRIP1,PIF1,H2BC15,SORBS1,HOXB-AS1,HIF3A
CENPF,ADAL,GJA5,EGLN3,AP000873.2,RNMT,UBA6,ZGRF1,CHD6
DKK2,HSPB8,EGFL6,SFRP1,SLC1A2,TAZ,NDRG1,AMY2B,AXL
SLK,COMP,RASGRP1,ZMYM4,AC002460.2,STIM2,MMP3,UBA6,VAT1L
C8orf31,PHLDB2,SLC35F1,SIN3B,ZNF652,C8orf31,VWA5A,MIP,TBC1D4
SYTL2,AMFR,CLUH,JPH2,CNKSR2,AC084879.1,TMEM67,AC008629.1,MMP7
PRKCE,CHODL,ZNF536,FAM20C,ANKRD28,GRASP,OGT,PRDM10,ARHGAP28
MEG8,SS18L1,DYNC2H1,ICA1L,BTBD9,YPEL2,CHIC1,AC087651.1,OSMR-AS1
TOP2A,GFRA2,ADGRB3,AL355075.4,CCDC170,PHGDH,SLC25A25-AS1,FAM186A,TST
AL022068.1,SORCS1,PPM1F,EHHADH,LIPT2,MXD4,SOX2-OT,NEK11,STK33
NINL,TMEM71,MORC2,FAM162B,HELZ,ROBO1,MAP3K19,TLE3,NEXN
NAALADL2,ANK3,DKK2,AP000873.2,FAR2,UTS2B,ETFBKMT,CCSER1,GALNT17
PRDM15,CLDN23,KLRF1,SLC16A13,MRAP2,CBLB,TTC39B,HEXD,SGCE
FAM186A,EIF5B,NMU,UST,AC104806.2,ERICH1,DICER1-AS1,AC083862.3,RNF223
AC018647.1,SERP2,FHDC1,PALM,PIGZ,EPHX1,CDKN3,PRDM15,CSNK1E
SLC14A1,PBX4,ABCC13,FHL1,NPTX2,PRND,CSAD,STARD7-AS1,CSRNP3
